time,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & P6 to Campus Ave & Library Rd,Campus Ave & P6 to Roundabout,Campus Ave & University Dr to Library Rd & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & P1 to Library Rd & University Dr,Library Rd & University Dr to Colonel By Dr & University Dr,P3 & Raven Rd to Raven Rd & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P4 & University Dr,Roundabout to Bronson Ave & University Dr,Stadium Way & University Dr to P5 & Stadium Way,Stadium Way & University Dr to Roundabout
4558.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,3.2251669477952962,0.9871602111171497,4.2465464379099,0.0,0.6538442872029947
4559.0,0.0,0.0,0.0,0.0,0.0,3.6760128130570546,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,3.2251669477952962,0.9871602111171497,4.2465464379099,0.0,0.6538442872029947
4560.0,0.0,0.0,0.0,0.0,0.0,3.6760128130570546,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,3.2251669477952962,0.9871602111171497,4.95430417756155,0.0,0.6538442872029947
4561.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.4807403166757245,4.2465464379099,0.0,1.3076885744059894
4562.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.4807403166757245,3.53878869825825,0.0,1.3076885744059894
4563.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.4807403166757245,3.53878869825825,0.0,1.3076885744059894
4564.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.4807403166757245,3.53878869825825,0.0,1.3076885744059894
4565.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,0.0,3.2356136477142243,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.4807403166757245,3.53878869825825,0.0,1.3076885744059894
4566.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,3.2356136477142243,0.0,0.45726619019772763,0.0,0.0,2.5801335582362372,1.4807403166757245,3.53878869825825,0.0,1.3076885744059894
4567.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.5801335582362372,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4568.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.157075765142816,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4569.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.157075765142816,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4570.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.9743204222342994,4.95430417756155,0.0,0.6538442872029947
4571.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4572.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4573.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.45726619019772763,0.0,0.0,2.9026502530157665,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4574.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,2.157075765142816,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4575.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4576.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4577.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4578.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4579.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4580.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,1.9743204222342994,3.53878869825825,0.0,0.6538442872029947
4581.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,1.9743204222342994,4.2465464379099,0.0,0.6538442872029947
4582.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.0,0.0,0.0,2.9104777148277132,2.6963447064285204,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,2.4679005277928745,4.2465464379099,0.0,0.6538442872029947
